[2024-06-21T07:09:45.763+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-21T07:09:45.793+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids scheduled__2024-06-21T06:45:00+00:00 [queued]>
[2024-06-21T07:09:45.805+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids scheduled__2024-06-21T06:45:00+00:00 [queued]>
[2024-06-21T07:09:45.805+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-21T07:09:45.830+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): get_all_dag_ids_last_limit_run_ids> on 2024-06-21 06:45:00+00:00
[2024-06-21T07:09:45.835+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=2460) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-21T07:09:45.836+0000] {standard_task_runner.py:63} INFO - Started process 2462 to run task
[2024-06-21T07:09:45.836+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'alerting_all_dags_using_apis', 'get_all_dag_ids_last_limit_run_ids', 'scheduled__2024-06-21T06:45:00+00:00', '--job-id', '2868', '--raw', '--subdir', 'DAGS_FOLDER/alerting_all_dags_using_apis.py', '--cfg-path', '/tmp/tmp69kui_bm']
[2024-06-21T07:09:45.838+0000] {standard_task_runner.py:91} INFO - Job 2868: Subtask get_all_dag_ids_last_limit_run_ids
[2024-06-21T07:09:45.900+0000] {task_command.py:426} INFO - Running <TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids scheduled__2024-06-21T06:45:00+00:00 [running]> on host e66744caf823
[2024-06-21T07:09:46.061+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='alerting_all_dags_using_apis' AIRFLOW_CTX_TASK_ID='get_all_dag_ids_last_limit_run_ids' AIRFLOW_CTX_EXECUTION_DATE='2024-06-21T06:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-21T06:45:00+00:00'
[2024-06-21T07:09:46.062+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-21T07:10:12.983+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:13.185+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:13.377+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:13.575+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:13.786+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:13.992+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:14.195+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:14.386+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:14.575+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/]/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:14.795+0000] {helper_functions.py:189} INFO - Run IDs: {'[': [], "'": [], 'a': [], 'l': [], 'e': [], 'r': [], 't': [], 'i': [], 'n': [], 'g': [], '_': [], 'd': [], 's': [], 'u': [], 'p': [], ',': [], ' ': [], 'c': [], 'b': [], 'm': [], 'o': [], 'f': [], '1': [], 'j': [], ']': []}
[2024-06-21T07:10:14.795+0000] {python.py:237} INFO - Done. Returned value was: {'[': [], "'": [], 'a': [], 'l': [], 'e': [], 'r': [], 't': [], 'i': [], 'n': [], 'g': [], '_': [], 'd': [], 's': [], 'u': [], 'p': [], ',': [], ' ': [], 'c': [], 'b': [], 'm': [], 'o': [], 'f': [], '1': [], 'j': [], ']': []}
[2024-06-21T07:10:14.795+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-06-21T07:10:14.814+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=alerting_all_dags_using_apis, task_id=get_all_dag_ids_last_limit_run_ids, run_id=scheduled__2024-06-21T06:45:00+00:00, execution_date=20240621T064500, start_date=20240621T070945, end_date=20240621T071014
[2024-06-21T07:10:14.852+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-06-21T07:10:14.886+0000] {taskinstance.py:3498} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-06-21T07:10:14.887+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
