[2024-06-21T07:09:47.731+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-21T07:09:47.754+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids manual__2024-06-21T07:09:44.673933+00:00 [queued]>
[2024-06-21T07:09:47.763+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids manual__2024-06-21T07:09:44.673933+00:00 [queued]>
[2024-06-21T07:09:47.763+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-21T07:09:47.777+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): get_all_dag_ids_last_limit_run_ids> on 2024-06-21 07:09:44.673933+00:00
[2024-06-21T07:09:47.781+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=2464) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-21T07:09:47.782+0000] {standard_task_runner.py:63} INFO - Started process 2465 to run task
[2024-06-21T07:09:47.783+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'alerting_all_dags_using_apis', 'get_all_dag_ids_last_limit_run_ids', 'manual__2024-06-21T07:09:44.673933+00:00', '--job-id', '2870', '--raw', '--subdir', 'DAGS_FOLDER/alerting_all_dags_using_apis.py', '--cfg-path', '/tmp/tmpv6dhkxn4']
[2024-06-21T07:09:47.784+0000] {standard_task_runner.py:91} INFO - Job 2870: Subtask get_all_dag_ids_last_limit_run_ids
[2024-06-21T07:09:47.824+0000] {task_command.py:426} INFO - Running <TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids manual__2024-06-21T07:09:44.673933+00:00 [running]> on host e66744caf823
[2024-06-21T07:09:47.927+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='alerting_all_dags_using_apis' AIRFLOW_CTX_TASK_ID='get_all_dag_ids_last_limit_run_ids' AIRFLOW_CTX_EXECUTION_DATE='2024-06-21T07:09:44.673933+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-21T07:09:44.673933+00:00'
[2024-06-21T07:09:47.928+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-21T07:10:14.668+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:14.852+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:15.042+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:15.316+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:15.536+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:15.752+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:16.008+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:16.233+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:16.420+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/]/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:16.636+0000] {helper_functions.py:189} INFO - Run IDs: {'[': [], "'": [], 'a': [], 'l': [], 'e': [], 'r': [], 't': [], 'i': [], 'n': [], 'g': [], '_': [], 'd': [], 's': [], 'u': [], 'p': [], ',': [], ' ': [], 'c': [], 'b': [], 'm': [], 'o': [], 'f': [], '1': [], 'j': [], ']': []}
[2024-06-21T07:10:16.637+0000] {python.py:237} INFO - Done. Returned value was: {'[': [], "'": [], 'a': [], 'l': [], 'e': [], 'r': [], 't': [], 'i': [], 'n': [], 'g': [], '_': [], 'd': [], 's': [], 'u': [], 'p': [], ',': [], ' ': [], 'c': [], 'b': [], 'm': [], 'o': [], 'f': [], '1': [], 'j': [], ']': []}
[2024-06-21T07:10:16.637+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-06-21T07:10:16.668+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=alerting_all_dags_using_apis, task_id=get_all_dag_ids_last_limit_run_ids, run_id=manual__2024-06-21T07:09:44.673933+00:00, execution_date=20240621T070944, start_date=20240621T070947, end_date=20240621T071016
[2024-06-21T07:10:16.711+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-06-21T07:10:16.747+0000] {taskinstance.py:3498} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-06-21T07:10:16.748+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
